name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
Phil Harris,22.0,12.0,162.56,56.7,165.1,Orthodox,40.0,2.34,0.26,3.16,0.68,1.76,0.21,0.6,0.0,14.0,0.0,0.0,"UFC Fight Night: Machida vs Munoz, UFC on FUEL TV: Barao vs McDonald","Blue, Red","Overturned, U-DEC",Men
Phil Hawes,12.0,6.0,182.88,83.91,195.58,Orthodox,35.0,5.33,0.59,3.72,0.55,2.11,0.34,0.9,0.2,13.0,0.0,0.0,"UFC Fight Night: Ankalaev vs. Walker 2, UFC 288: Sterling vs. Cejudo, UFC Fight Night: Kattar vs. Allen, UFC Fight Night: Kattar vs. Emmett, UFC 268: Usman vs. Covington 2, UFC Fight Night: Rodriguez vs. Waterson, UFC Fight Night: Blaydes vs. Lewis","Blue, Red","KO/TKO Elbows, KO/TKO Punches",Men
Phil Johns,30.0,14.0,157.48,77.11,,Southpaw,55.0,1.2,0.66,1.8,0.5,0.0,0.0,0.5,0.0,,,,,,,
Phil Rowe,10.0,4.0,190.5,77.11,203.2,Orthodox,33.0,3.94,0.52,4.32,0.54,0.85,0.4,0.59,0.4,53.0,0.0,0.0,UFC Fight Night: Hall vs. Strickland,Red,KO/TKO Punches,Men
Philip De Fries,12.0,6.0,195.58,113.4,200.66,Orthodox,37.0,2.3,0.47,3.0,0.37,3.29,0.42,1.0,0.6,12.0,1.0,0.0,"UFC 155: Dos Santos vs Velasquez II, UFC on FOX: Shogun vs Vera","Blue, Red","SUB Rear Naked Choke, U-DEC",Men
Philipe Lins,18.0,5.0,187.96,92.99,198.12,Orthodox,38.0,3.8,0.49,3.59,0.46,1.65,0.33,1.0,0.0,50.0,1.0,0.0,"UFC Fight Night: Kara-France vs. Albazi, UFC Fight Night: Poirier vs. Hooker","Red, Blue",U-DEC,Men
Phillip Miller,16.0,0.0,180.34,83.91,,Orthodox,45.0,1.61,0.54,1.93,0.5,3.62,0.25,1.0,0.6,20.0,2.0,1.0,"UFC 40: Vendetta, UFC 38: Brawl at the Hall",Red,"SUB Rear Naked Choke, U-DEC",Men
Phillipe Nover,11.0,8.0,175.26,65.77,182.88,Orthodox,40.0,1.79,0.35,2.48,0.56,0.99,0.28,0.44,0.7,54.0,6.0,0.0,UFC Fight Night: Edgar vs Faber,Red,S-DEC,Men
Piera Rodriguez,9.0,1.0,160.02,52.16,160.02,Orthodox,31.0,3.46,0.46,2.98,0.57,3.31,0.41,0.66,0.0,89.0,5.0,0.0,"UFC Fight Night: Grasso vs. Araujo, UFC 273: Volkanovski vs. The Korean Zombie",Red,U-DEC,Women
Pingyuan Liu,13.0,7.0,167.64,61.23,182.88,Orthodox,31.0,2.36,0.33,2.99,0.54,0.25,0.2,0.56,1.0,27.0,0.0,0.0,"UFC Fight Night: De Randamie vs. Ladd, UFC Fight Night: Blaydes vs. Ngannou 2","Blue, Red",S-DEC,Men
Piotr Hallmann,18.0,6.0,175.26,70.31,180.34,Orthodox,36.0,3.98,0.45,3.17,0.58,2.55,0.44,0.7,0.4,99.0,2.0,0.0,UFC Fight Night: Jedrzejczyk vs Penne,Blue,SUB Rear Naked Choke,Men
Poliana Botelho,8.0,5.0,172.72,56.7,170.18,Orthodox,35.0,2.9,0.58,2.8,0.54,0.85,0.57,0.76,0.0,87.0,1.0,0.0,"UFC Fight Night: Reyes vs. Prochazka, UFC Fight Night: Maia vs. Usman","Blue, Red","U-DEC, KO/TKO Kick",Women
Polyana Viana,13.0,7.0,165.1,52.16,170.18,Orthodox,31.0,2.99,0.4,2.65,0.53,0.82,0.33,0.38,1.9,41.0,1.0,0.0,"UFC Fight Night: Luque vs. Dos Anjos, UFC Fight Night: Rodriguez vs. Lemos, UFC Fight Night: Holm vs. Vieira, UFC 258: Usman vs. Burns, UFC Fight Night: Smith vs. Rakic, UFC 235: Jones vs. Smith, UFC 227: Dillashaw vs. Garbrandt 2","Blue, Red","KO/TKO Punches, SUB Armbar",Women
Preston Parsons,11.0,4.0,180.34,77.11,180.34,Orthodox,28.0,3.83,0.55,3.18,0.51,4.3,0.43,0.8,3.1,121.0,4.0,5.0,UFC Fight Night: Lemos vs. Andrade,Red,U-DEC,Men
Priscila Cachoeira,12.0,6.0,170.18,56.7,165.1,Orthodox,35.0,3.76,0.44,7.03,0.43,0.15,0.33,0.65,0.0,20.0,0.0,0.0,"UFC Fight Night: Vera vs. Cruz, UFC Fight Night: Felder vs. Hooker",Red,KO/TKO Punches,Women
Punahele Soriano,9.0,4.0,180.34,83.91,182.88,Southpaw,31.0,3.96,0.45,4.55,0.48,0.79,0.4,0.33,0.0,33.0,0.0,0.0,"UFC Fight Night: Dariush vs. Tsarukyan, UFC Fight Night: Strickland vs. Imavov, UFC Fight Night: Ortega vs. Rodriguez, UFC Fight Night: Hermansson vs. Strickland, UFC Fight Night: Sandhagen vs. Dillashaw, UFC Fight Night: Holloway vs. Kattar, UFC 245: Usman vs. Covington","Blue, Red",KO/TKO Punch,Men
Quinn Mulhern,18.0,4.0,190.5,70.31,,Orthodox,39.0,1.48,0.28,2.09,0.51,1.36,0.2,0.33,0.0,,,,,,,
Quinton Jackson,37.0,12.0,185.42,92.99,185.42,Orthodox,45.0,3.25,0.54,2.51,0.55,1.52,0.56,0.73,0.1,114.0,0.0,0.0,"UFC 186: Johnson vs Horiguchi, UFC on FOX: Johnson vs Dodson, UFC 144: Edgar vs Henderson, UFC 130: Rampage vs Hamill, UFC 123: Rampage vs Machida, UFC 114: Rampage vs Evans, UFC 96: Jackson vs Jardine, UFC 92: The Ultimate 2008, UFC 75: Champion vs Champion, UFC 71: Liddell vs Jackson, UFC 67: All or Nothing","Red, Blue","U-DEC, S-DEC, KO/TKO Punch, KO/TKO Punches",Men
Rachael Ostovich,4.0,6.0,160.02,56.7,157.48,Orthodox,33.0,2.54,0.43,3.97,0.57,2.03,0.83,0.66,0.8,,,,,,SUB Armbar,
Rafa Garcia,16.0,3.0,170.18,70.31,177.8,Orthodox,29.0,4.19,0.42,4.21,0.61,3.61,0.44,0.79,0.3,79.0,6.0,0.0,"UFC Fight Night: Cannonier vs. Strickland, UFC Fight Night: Luque vs. Muhammad, UFC Fight Night: Vieira vs. Tate",Red,U-DEC,Men
Rafael Alves,20.0,12.0,172.72,70.31,172.72,Orthodox,33.0,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,25.0,0.0,2.0,"UFC Fight Night: Muniz vs. Allen, UFC Fight Night: Font vs. Garbrandt",Blue,SUB Guillotine Choke,Men
Rafael Cavalcante,12.0,7.0,185.42,92.99,187.96,Orthodox,43.0,2.71,0.53,3.62,0.49,0.6,0.4,0.63,0.1,24.0,0.0,0.0,"UFC 190: Rousey vs Correia, UFC Fight Night: Belfort vs Henderson 2","Blue, Red",KO/TKO Knee,Men
Rafael Dos Anjos,32.0,16.0,172.72,70.31,177.8,Southpaw,39.0,3.48,0.47,3.21,0.6,1.95,0.35,0.55,0.6,90.0,2.0,0.0,"UFC Fight Night: Dos Anjos vs. Fiziev, UFC 272: Covington vs. Masvidal, UFC Fight Night: Blaydes vs. Dos Santos, UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Dos Anjos vs. Lee, The Ultimate Fighter: Heavy Hitters Finale, UFC 225: Whittaker vs. Romero 2, UFC Fight Night: Dos Anjos vs. Ferguson, UFC Fight Night: Dos Anjos vs. Alvarez, UFC on FOX: Dos Anjos vs. Cowboy 2, UFC on FOX: Dos Santos vs Miocic, UFC Fight Night: Henderson vs Khabilov, UFC on FOX: Werdum vs Browne, UFC on FX: Belfort vs. Rockhold, UFC on FUEL TV: Munoz vs Weidman, UFC on FUEL TV: Korean Zombie vs Poirier, UFC Fight Night: Maynard vs Diaz, UFC 103: Franklin vs Belfort","Blue, Red","SUB Rear Naked Choke, U-DEC, SUB Arm Triangle, KO/TKO Punches, KO/TKO Punch, SUB Armbar",Men
Rafael Estevam,12.0,0.0,172.72,56.7,175.26,Orthodox,27.0,2.94,0.64,3.35,0.34,3.35,0.19,0.0,0.7,,,,,,U-DEC,
Rafael Fiziev,12.0,3.0,172.72,70.31,180.34,Switch,31.0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0.0,19.0,0.0,0.0,UFC Fight Night: Fiziev vs. Gamrot,Blue,"KO/TKO Punch, U-DEC",Men
Rafael Natal,21.0,9.0,182.88,83.91,195.58,Orthodox,41.0,3.1,0.47,2.48,0.57,2.55,0.34,0.77,0.5,15.0,0.0,0.0,"UFC Fight Night: Weidman vs. Gastelum, UFC 205: Alvarez vs McGregor, UFC on FOX: Johnson vs. Bader, UFC 183: Silva vs Diaz, UFC Fight Night: Jacare vs Mousasi, UFC Fight Night: Teixeira vs Bader, UFC on FX: Belfort vs. Rockhold, UFC on FOX: Johnson vs Dodson, UFC on FUEL TV: Munoz vs Weidman, UFC 143: Diaz vs Condit, UFC 133: Evans vs Ortiz 2","Blue, Red","KO/TKO Punches, S-DEC, U-DEC",Men
Rafaello Oliveira,17.0,8.0,172.72,70.31,180.34,Orthodox,42.0,2.19,0.33,3.38,0.59,2.49,0.36,0.11,1.6,1.0,0.0,0.0,"UFC 170: Rousey vs McMann, UFC 148: Silva vs Sonnen 2, UFC 108: Evans vs Silva","Blue, Red",U-DEC,Men
Rainy Martinez,0.0,2.0,182.88,90.26,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Ramazan Emeev,20.0,6.0,177.8,77.11,193.04,Southpaw,36.0,2.53,0.45,2.14,0.65,2.37,0.29,0.66,0.7,67.0,4.0,2.0,"UFC Fight Night: Whittaker vs. Till, UFC Fight Night: Zabit vs. Kattar, UFC Fight Night: Hunt vs. Oleinik","Red, Blue","S-DEC, U-DEC",Men
Rameau Thierry Sokoudjou,18.0,18.0,177.8,92.99,198.12,Orthodox,39.0,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,29.0,0.0,0.0,UFC 84: Ill Will,Red,KO/TKO,Men
Ramiro Hernandez,19.0,9.0,175.26,61.23,,Orthodox,37.0,2.72,0.28,5.51,0.64,0.0,0.0,0.0,0.0,40.0,0.0,0.0,UFC on FOX: Henderson vs Thomson,Blue,,Men
Ramiz Brahimaj,10.0,4.0,177.8,77.11,182.88,Orthodox,31.0,2.47,0.41,4.08,0.5,1.9,0.66,0.58,2.4,2.0,1.0,3.0,UFC Fight Night: Makhachev vs. Green,Red,SUB Rear Naked Choke,Men
Ramon Taveras,10.0,2.0,172.72,61.23,177.8,Southpaw,30.0,4.63,0.45,5.41,0.65,0.0,0.0,1.0,0.0,,,,,,,
Ramona Pascual,6.0,5.0,170.18,61.23,167.64,Southpaw,35.0,3.87,0.57,8.43,0.46,1.81,0.19,1.0,0.0,65.0,1.0,0.0,UFC 275: Teixeira vs. Prochazka,Blue,,Women
Ramsey Nijem,9.0,6.0,180.34,70.31,190.5,Orthodox,35.0,3.05,0.44,1.62,0.62,5.32,0.62,0.55,1.1,76.0,6.0,0.0,"UFC on FOX: Dillashaw vs. Barao II, UFC 177: Dillashaw vs Soto, UFC Fight Night: Minotauro vs Nelson, UFC Fight Night: Rockhold vs Philippou, UFC Fight Night: Shogun vs Sonnen, UFC on FOX: Henderson vs Melendez, UFC on FOX: Henderson vs Diaz, UFC on FX: Maynard vs Guida, UFC 137: Penn vs Diaz, The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale","Blue, Red","KO/TKO Punches, U-DEC, KO/TKO Punch",Men
Randa Markos,11.0,12.0,162.56,52.16,160.02,Orthodox,38.0,2.97,0.43,3.1,0.58,1.12,0.28,0.52,0.2,28.0,0.0,0.0,"UFC Fight Night: Reyes vs. Prochazka, UFC Fight Night: Felder vs. Dos Anjos, UFC Fight Night: Maia vs. Askren, UFC Fight Night: Thompson vs. Pettis, UFC Fight Night: Alvarez vs. Poirier 2, UFC Fight Night: Jacare vs. Brunson 2, UFC Fight Night: Pettis vs. Moreno, UFC 202: Diaz vs. McGregor 2, UFC Fight Night: MacDonald vs Thompson, UFC on FOX: Dos Anjos vs. Cowboy 2, UFC 186: Johnson vs Horiguchi","Blue, Red",U-DEC,Women
Randy Brown,18.0,5.0,190.5,77.11,198.12,Orthodox,33.0,4.37,0.46,3.33,0.54,0.78,0.39,0.74,0.5,13.0,0.0,0.0,"UFC Fight Night: Dolidze vs. Imavov, UFC Fight Night: Emmett vs. Topuria, UFC Fight Night: Dern vs. Yan, UFC 274: Oliveira vs. Gaethje, UFC Fight Night: Dern vs. Rodriguez, UFC Fight Night: Dos Santos vs. Ivanov, UFC 217: Bisping vs. St-Pierre, UFC 208: Holm vs. De Randamie, UFC Fight Night: Lewis vs. Abdurakhimov, UFC on FOX: Teixeira vs Evans","Red, Blue","U-DEC, S-DEC, SUB Rear Naked Choke",Men
Randy Costa,6.0,4.0,175.26,61.23,185.42,Switch,29.0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,32.0,0.0,0.0,"UFC 269: Oliveira vs. Poirier, UFC Fight Night: Reyes vs. Weidman","Blue, Red",KO/TKO Kick,Men
Randy Couture,19.0,11.0,185.42,92.99,190.5,Orthodox,60.0,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,41.0,1.0,2.0,"UFC 118: Edgar vs Penn 2, UFC 109: Relentless, UFC 105: Couture vs Vera, UFC 74: Respect, UFC 68: The Uprising, UFC 54: Boiling Point, UFC 49: Unfinished Business, UFC 44: Undisputed, UFC 43: Meltdown, UFC 34: High Voltage, UFC 31: Locked and Loaded, UFC 28: High Stakes, UFC - Ultimate Japan, UFC 15: Collision Course, UFC 13: The Ultimate Force",Red,"SUB Arm Triangle, SUB Rear Naked Choke, U-DEC, KO/TKO Punches, SUB Anaconda Choke, KO/TKO, SUB Armbar, SUB Guillotine Choke",Men
Rani Yahya,28.0,11.0,167.64,61.23,170.18,Orthodox,39.0,1.59,0.37,1.77,0.5,2.86,0.32,0.24,1.9,7.0,0.0,0.0,"UFC Fight Night: Pavlovich vs. Blaydes, UFC Fight Night: Vieira vs. Tate, UFC Fight Night: Edwards vs. Muhammad, UFC 234: Adesanya vs. Silva, UFC Fight Night: Gaethje vs. Vick, UFC Fight Night: Emmett vs. Stephens, UFC Fight Night: Belfort vs. Gastelum, UFC Fight Night: Cyborg vs. Lansberg, UFC Fight Night: McDonald vs. Lineker, UFC Fight Night: Mir vs Duffee, UFC Fight Night: Bigfoot vs Arlovski, The Ultimate Fighter: Team Rousey vs. Team Tate Finale, UFC 163: Aldo vs Jung, UFC Fight Night: Fight for the Troops 2","Blue, Red","U-DEC, SUB North-South Choke",Men
Raoni Barcelos,18.0,5.0,170.18,61.23,170.18,Orthodox,36.0,5.22,0.51,4.79,0.61,1.86,0.32,0.85,0.6,119.0,2.0,0.0,"UFC Fight Night: Dern vs. Yan, UFC 270: Ngannou vs. Gane, UFC Fight Night: Gane vs. Volkov, UFC Fight Night: Santos vs. Teixeira, UFC Fight Night: Edgar vs. The Korean Zombie, UFC 237: Namajunas vs. Andrade, The Ultimate Fighter: Heavy Hitters Finale","Red, Blue","U-DEC, KO/TKO Elbows, SUB Rear Naked Choke",Men
Raphael Assuncao,28.0,10.0,165.1,61.23,167.64,Orthodox,41.0,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2,67.0,5.0,0.0,"UFC Fight Night: Yan vs. Dvalishvili, UFC Fight Night: Grasso vs. Araujo, UFC Fight Night: Lewis vs. Daukaus, UFC 250: Nunes vs. Spencer, UFC 241: Cormier vs. Miocic 2, UFC Fight Night: Assuncao vs. Moraes 2, UFC 226: Miocic vs. Cormier, UFC Fight Night: Poirier vs. Pettis, UFC 212: Aldo vs. Holloway, UFC on FOX: Shevchenko vs. Pena, UFC Fight Night: MacDonald vs Saffiedine, UFC 170: Rousey vs McMann, UFC Fight Night: Maia vs Shields, UFC on FUEL TV: Nogueira vs. Werdum, UFC on FOX: Henderson vs Diaz, UFC on FUEL TV: Munoz vs Weidman, UFC 134: Silva vs Okami","Blue, Red","U-DEC, S-DEC, SUB Armbar",Men
Raphael Pessoa,10.0,2.0,190.5,118.84,198.12,Orthodox,35.0,2.16,0.26,3.43,0.42,0.0,0.0,1.0,0.0,43.0,0.0,0.0,UFC Fight Night: Maia vs. Askren,Red,U-DEC,Men
Raquel Pennington,16.0,9.0,170.18,61.23,170.18,Orthodox,35.0,4.14,0.52,3.29,0.6,0.9,0.27,0.63,0.7,265.0,1.0,2.0,"UFC 297: Strickland vs. Du Plessis, UFC Fight Night: Lewis vs. Daukaus, UFC Fight Night: Blaydes vs. Volkov, UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Korean Zombie vs. Rodriguez, UFC 202: Diaz vs. McGregor 2, UFC 184: Rousey vs Zingano, UFC 181: Hendricks vs Lawler II, UFC 171: Hendricks vs Lawler","Red, Blue","S-DEC, U-DEC, SUB Rear Naked Choke, SUB Bulldog Choke",Women
Rashad Coulter,9.0,4.0,180.34,92.99,193.04,Orthodox,42.0,4.82,0.56,6.68,0.5,0.0,0.0,0.62,0.0,30.0,0.0,0.0,"UFC 225: Whittaker vs. Romero 2, UFC Fight Night: Werdum vs. Tybura",Blue,U-DEC,Men
Rashad Evans,19.0,8.0,182.88,92.99,190.5,Orthodox,44.0,2.14,0.37,2.42,0.63,2.98,0.44,0.73,0.0,2.0,0.0,0.0,"UFC 225: Whittaker vs. Romero 2, UFC 209: Woodley vs. Thompson 2, UFC 167: St-Pierre vs Hendricks, UFC 161: Evans vs Henderson, UFC 156: Aldo vs Edgar, UFC on FOX: Evans vs Davis, UFC 133: Evans vs Ortiz 2, UFC 108: Evans vs Silva, UFC 92: The Ultimate 2008, UFC 88: Breakthrough, UFC 78: Validation, UFC Fight Night: Evans vs Salmon, UFC 63: Hughes vs Penn, UFC Fight Night 5, UFC Fight Night 4, The Ultimate Fighter: Team Hughes vs. Team Franklin Finale","Blue, Red","KO/TKO Punches, S-DEC, U-DEC, KO/TKO Knee, KO/TKO Punch, KO/TKO Kick, M-DEC",Men
Rashid Magomedov,20.0,2.0,175.26,70.31,177.8,Orthodox,39.0,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,,,,,,"S-DEC, U-DEC",
Raul Rosas Jr.,8.0,1.0,175.26,61.23,170.18,Switch,19.0,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8,19.0,0.0,0.0,"UFC Fight Night: Grasso vs. Shevchenko 2, UFC 287: Pereira vs. Adesanya 2, UFC 282: Blachowicz vs. Ankalaev","Red, Blue","KO/TKO Punches, SUB Neck Crank",Men
Raulian Paiva,21.0,5.0,172.72,61.23,175.26,Orthodox,28.0,4.14,0.42,5.01,0.48,0.65,0.23,0.77,0.2,63.0,1.0,0.0,"UFC Fight Night: Tsarukyan vs. Gamrot, UFC 269: Oliveira vs. Poirier, UFC 251: Usman vs. Masvidal","Blue, Red","M-DEC, U-DEC",Men
Ravena Oliveira,7.0,2.0,165.1,61.23,165.1,Orthodox,27.0,1.0,0.48,1.2,0.48,2.0,0.66,0.62,0.0,,,,,,,
Ray Borg,13.0,5.0,162.56,61.23,160.02,Orthodox,30.0,1.52,0.52,1.93,0.48,3.89,0.5,0.46,1.0,23.0,6.0,1.0,"UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Barboza vs. Gaethje, UFC Fight Night: Hendricks vs Thompson, UFC Fight Night: Teixeira vs Saint Preux, UFC Fight Night: Henderson vs Thatch, UFC Fight Night: Swanson vs Stephens","Red, Blue",U-DEC,Men
Ray Rodriguez,16.0,8.0,170.18,61.23,177.8,Orthodox,36.0,0.9,0.27,3.89,0.4,1.42,0.5,0.44,0.0,,,,,,,
Rayanne Amanda,14.0,7.0,157.48,52.16,157.48,Orthodox,28.0,3.73,0.36,4.63,0.65,0.5,0.2,0.88,0.0,80.0,0.0,0.0,UFC Fight Night: Song vs. Gutierrez,Blue,,Women
Razak Al-Hassan,13.0,5.0,187.96,92.99,,Orthodox,41.0,3.27,0.39,3.14,0.6,0.65,0.14,0.57,0.0,,,,,,,
Reese Andy,7.0,3.0,182.88,92.99,,Orthodox,50.0,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,,,,,,,
Reginaldo Vieira,13.0,5.0,170.18,61.23,165.1,Orthodox,41.0,3.76,0.4,2.89,0.59,1.97,0.27,0.25,0.8,127.0,0.0,2.0,UFC 190: Rousey vs Correia,Red,U-DEC,Men
Renan Barao,34.0,9.0,167.64,65.77,177.8,Orthodox,37.0,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,41.0,0.0,0.0,"UFC Fight Night: Ngannou vs. Velasquez, UFC Fight Night: Marreta vs. Anders, UFC Fight Night: Emmett vs. Stephens, UFC Fight Night: Cyborg vs. Lansberg, UFC Fight Night: Almeida vs Garbrandt, UFC Fight Night: Machida vs Dollaway, UFC 173: Barao vs Dillashaw, UFC 169: Barao vs Faber 2, UFC 165: Jones vs Gustafsson, UFC on FUEL TV: Barao vs McDonald, UFC 143: Diaz vs Condit","Blue, Red","U-DEC, KO/TKO Punch, KO/TKO Spinning Back Kick, SUB Arm Triangle, SUB Rear Naked Choke",Men
Renato Moicano,18.0,5.0,180.34,70.31,182.88,Orthodox,34.0,4.41,0.47,3.8,0.6,1.8,0.47,0.72,0.6,142.0,3.0,0.0,"UFC Fight Night: Dolidze vs. Imavov, UFC Fight Night: Gane vs. Volkov, UFC 256: Figueiredo vs. Moreno, UFC Fight Night: Lee vs. Oliveira, UFC Fight Night: Moicano vs. The Korean Zombie, UFC 223: Khabib vs. Iaquinta, UFC 198: Werdum vs Miocic","Red, Blue","SUB Rear Naked Choke, U-DEC, S-DEC",Men
Renato Sobral,37.0,11.0,185.42,92.99,190.5,Orthodox,48.0,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,126.0,1.0,3.0,"UFC 74: Respect, UFC 57: Liddell vs Couture 3, UFC 55: Fury, UFC 52: Couture vs Liddell 2, UFC 38: Brawl at the Hall, UFC 28: High Stakes",Red,"SUB Anaconda Choke, SUB Rear Naked Choke, SUB Triangle Choke, SUB Armbar, U-DEC, M-DEC",Men
Renato Verissimo,7.0,5.0,185.42,77.11,,Orthodox,50.0,0.92,0.48,1.87,0.47,1.46,0.3,0.5,2.5,124.0,3.0,1.0,UFC 46: Supernatural,Red,U-DEC,Men
Renee Forte,8.0,4.0,170.18,70.31,180.34,Orthodox,37.0,2.08,0.32,2.12,0.63,2.32,0.58,0.66,0.0,20.0,5.0,0.0,UFC 171: Hendricks vs Lawler,Blue,U-DEC,Men
Renzo Gracie,13.0,7.0,177.8,83.91,,Orthodox,57.0,1.71,0.41,1.67,0.55,1.13,0.2,0.4,0.8,,,,,,,
Reuben Duran,11.0,7.0,170.18,61.23,180.34,Orthodox,40.0,3.19,0.49,2.61,0.5,0.98,0.23,0.25,0.7,8.0,0.0,0.0,"The Ultimate Fighter: Team Carwin vs. Team Nelson Finale, The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale","Blue, Red",SUB Rear Naked Choke,Men
Rex Holman,4.0,2.0,190.5,92.99,,Southpaw,,2.75,0.34,7.25,0.4,0.0,0.0,1.0,0.0,,,,,,,
Reza Madadi,14.0,6.0,180.34,70.31,185.42,Orthodox,45.0,2.51,0.46,3.31,0.66,3.17,0.33,0.89,0.5,69.0,5.0,0.0,"UFC Fight Night: Gustafsson vs. Teixeira, UFC on FUEL TV: Mousasi vs Latifi, UFC on FUEL TV: Gustafsson vs Silva","Blue, Red","KO/TKO Punch, SUB D'Arce Choke",Men
Reza Nasri,0.0,1.0,180.34,92.99,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Rhys McKee,13.0,5.0,187.96,77.11,198.12,Orthodox,28.0,6.06,0.48,9.47,0.44,0.0,0.0,0.33,0.0,,,,,,,
Ricardo Abreu,5.0,1.0,180.34,83.91,,Orthodox,39.0,3.79,0.31,3.98,0.68,2.13,0.42,1.0,0.7,69.0,3.0,0.0,"UFC Fight Night: Boetsch vs Henderson, UFC Fight Night: Miocic vs Maldonado","Blue, Red",SUB Rear Naked Choke,Men
Ricardo Almeida,13.0,5.0,182.88,77.11,187.96,Orthodox,47.0,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,66.0,1.0,0.0,"UFC 128: Shogun vs Jones, UFC 111: St-Pierre vs Hardy, UFC 101: Declaration, UFC Fight Night: Condit vs Kampmann, UFC 81: Breaking Point, UFC 33: Victory in Vegas","Blue, Red","U-DEC, SUB Rear Naked Choke, SUB Guillotine Choke, SUB Triangle Choke",Men
Ricardo Funch,9.0,6.0,177.8,77.11,187.96,Southpaw,43.0,2.61,0.65,3.57,0.4,1.24,0.18,0.6,0.0,4.0,0.0,0.0,"UFC 142: Aldo vs Mendes, UFC 115: Liddell vs Franklin",Blue,,Men
Ricardo Lamas,20.0,8.0,172.72,65.77,180.34,Orthodox,41.0,3.13,0.47,2.87,0.57,1.84,0.33,0.46,0.9,127.0,5.0,0.0,"UFC Fight Night: Smith vs. Rakic, UFC 238: Cejudo vs. Moraes, UFC Fight Night: Magny vs. Ponzinibbio, UFC 225: Whittaker vs. Romero 2, UFC Fight Night: Lawler vs. Dos Anjos, UFC 214: Cormier vs. Jones 2, UFC Fight Night: Dos Anjos vs. Ferguson, UFC Fight Night: Magny vs Gastelum, UFC 180: Werdum vs Hunt, UFC Fight Night: Swanson vs Stephens, UFC Live: Kongo vs Barry","Red, Blue","U-DEC, KO/TKO Punches, SUB Guillotine Choke, KO/TKO Elbows",Men
Ricardo Ramos,16.0,6.0,175.26,65.77,182.88,Orthodox,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7,12.0,2.0,0.0,"UFC Fight Night: Ribas vs. Namajunas, UFC Fight Night: Fiziev vs. Gamrot, UFC Fight Night: Kattar vs. Emmett, UFC 267: Blachowicz vs. Teixeira, UFC Fight Night: Font vs. Garbrandt, UFC Fight Night: Kattar vs. Ige, UFC Fight Night: Blachowicz vs. Jacare, UFC Fight Night: Ngannou vs. Dos Santos, UFC Fight Night: Assuncao vs. Moraes 2, UFC 227: Dillashaw vs. Garbrandt 2, UFC Fight Night: Bermudez vs. The Korean Zombie","Blue, Red","KO/TKO Spinning Back Elbow, S-DEC",Men
Ricardo Romero,11.0,3.0,182.88,92.99,193.04,Orthodox,45.0,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3,,,,,,SUB Armbar,
Ricco Rodriguez,53.0,25.0,193.04,120.2,,Orthodox,46.0,1.85,0.51,1.15,0.61,2.3,0.39,0.4,1.0,128.0,4.0,1.0,"UFC 39: The Warriors Return, UFC 37: High Impact, UFC 35: Throwdown, UFC 34: High Voltage, UFC 32: Showdown in the Meadowlands",Red,"KO/TKO Elbows, KO/TKO Punches",Men
Rich Attonito,10.0,5.0,177.8,77.11,182.88,Orthodox,46.0,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,42.0,1.0,0.0,"UFC 140: Jones vs Machida, The Ultimate Fighter: Team GSP vs Team Koscheck Finale, UFC Fight Night: Marquardt vs Palhares","Blue, Red","U-DEC, KO/TKO Punches",Men
Rich Clementi,45.0,23.0,175.26,70.31,182.88,Southpaw,47.0,1.43,0.37,2.29,0.6,1.72,0.42,0.25,1.1,171.0,4.0,0.0,"UFC 84: Ill Will, UFC 83: Serra vs St-Pierre 2, UFC 79: Nemesis, UFC 76: Knockout, UFC Fight Night: Evans vs Salmon",Red,"U-DEC, S-DEC, SUB Rear Naked Choke",Men
