name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
Genki Sudo,15.0,4.0,175.26,70.31,,Orthodox,46.0,1.55,0.39,2.23,0.33,3.58,0.6,0.5,4.2,10.0,1.0,4.0,"UFC 47: It's On!, UFC 38: Brawl at the Hall",Red,"SUB Triangle Choke, SUB Rear Naked Choke",Men
Geoff Neal,15.0,6.0,180.34,77.11,190.5,Southpaw,33.0,4.97,0.5,5.47,0.57,0.46,0.44,0.87,0.1,57.0,0.0,0.0,"UFC 298: Volkanovski vs. Topuria, UFC 285: Jones vs. Gane, UFC 269: Oliveira vs. Poirier, UFC 245: Usman vs. Covington, UFC 240: Holloway vs. Edgar, UFC 228: Woodley vs. Till, UFC Fight Night: Cerrone vs. Medeiros","Blue, Red","KO/TKO Punches, S-DEC, KO/TKO Kick",Men
George Roop,15.0,13.0,185.42,61.23,182.88,Orthodox,42.0,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1,10.0,0.0,0.0,"UFC 175: Weidman vs Machida, UFC Fight Night: Bisping vs Kennedy, UFC Fight Night: Fight for the Troops 3, UFC 158: St-Pierre vs Diaz, UFC 98: Evans vs Machida","Blue, Red","U-DEC, KO/TKO Punch, S-DEC",Men
George Sotiropoulos,14.0,7.0,177.8,70.31,180.34,Orthodox,46.0,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6,50.0,1.0,0.0,"UFC 166: Velasquez vs Dos Santos 3, UFC on FX: Sotiropoulos vs Pearson, UFC 132: Cruz vs Faber, UFC 127: Penn vs Fitch, UFC 123: Rampage vs Machida, UFC 116: Lesnar vs Carwin, UFC 110: Nogueira vs Velasquez, UFC 106: Ortiz vs Griffin 2, UFC 101: Declaration, UFC Fight Night: Florian vs Lauzon, The Ultimate Fighter: Team Hughes vs. Team Serra Finale","Blue, Red","SUB Kimura, U-DEC, SUB Armbar, KO/TKO Punches, SUB Rear Naked Choke",Men
George Sullivan,17.0,7.0,182.88,77.11,185.42,Orthodox,43.0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,19.0,0.0,0.0,"UFC on FOX: Johnson vs. Bader, The Ultimate Fighter: American Top Team vs. Blackzilians Finale, UFC on FOX: Machida vs Rockhold, UFC on FOX: Henderson vs Thomson","Blue, Red","U-DEC, KO/TKO Punch",Men
Georges St-Pierre,26.0,2.0,180.34,83.91,193.04,Orthodox,42.0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,125.0,3.0,1.0,"UFC 167: St-Pierre vs Hendricks, UFC 158: St-Pierre vs Diaz, UFC 154: St-Pierre vs Condit, UFC 129: St-Pierre vs Shields, UFC 124: St-Pierre vs Koscheck 2, UFC 111: St-Pierre vs Hardy, UFC 100, UFC 94: St-Pierre vs Penn 2, UFC 87: Seek And Destroy, UFC 83: Serra vs St-Pierre 2, UFC 79: Nemesis, UFC 74: Respect, UFC 65: Bad Intentions, UFC 58: USA vs Canada, UFC 56: Full Force, UFC 54: Boiling Point, UFC 52: Couture vs Liddell 2, UFC 48: Payback, UFC 46: Supernatural",Red,"SUB Rear Naked Choke, S-DEC, U-DEC, KO/TKO, KO/TKO Knees, SUB Armbar, KO/TKO Kick, KO/TKO Elbows, KO/TKO Punches",Men
Gerald Harris,23.0,5.0,180.34,83.91,195.58,Southpaw,44.0,1.41,0.29,1.58,0.62,2.96,0.54,0.72,0.0,8.0,2.0,0.0,"UFC 123: Rampage vs Machida, UFC 116: Lesnar vs Carwin, UFC Fight Night: Florian vs Gomi, UFC Fight Night: Maynard vs Diaz","Blue, Red","KO/TKO Slam, KO/TKO Punches",Men
Gerald Meerschaert,36.0,17.0,185.42,83.91,195.58,Southpaw,36.0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6,30.0,3.0,2.0,"UFC Fight Night: Tuivasa vs. Tybura, UFC 287: Pereira vs. Adesanya 2, UFC 248: Adesanya vs. Romero, UFC Fight Night: Lee vs. Iaquinta, The Ultimate Fighter: Undefeated Finale, UFC Fight Night: Lewis vs. Browne","Red, Blue","SUB Guillotine Choke, SUB Rear Naked Choke",Men
Gerald Strebendt,9.0,7.0,175.26,70.31,,Orthodox,45.0,0.0,0.0,4.0,0.38,0.0,0.0,0.0,16.4,,,,,,,
Geraldo de Freitas,12.0,6.0,170.18,61.23,182.88,Orthodox,32.0,3.67,0.52,2.62,0.5,3.0,0.45,0.59,0.0,108.0,1.0,0.0,"UFC Fight Night: Felder vs. Dos Anjos, UFC Fight Night: Shevchenko vs. Carmouche 2, UFC Fight Night: Assuncao vs. Moraes 2","Blue, Red",U-DEC,Men
